קוד זיהוי,שדה1,שדה2,שדה3,שדה4,שדה5,שדה6,שדה7,שדה8,שדה9,שדה10,שדה11,שדה12,שדה13,שדה14,שדה15,שדה16,שדה17,שדה18,שדה19,שדה20,שדה21,שדה22,שדה23,שדה24,שדה25,שדה26,שדה27,שדה28,שדה29,שדה30,שדה31,שדה32
16,7,7,אדרת,149/118,יהודה,יוגב אורה,1980,הלניסטית,מאה 3 לפנהס,חירבה,כפרי,,,שרידי בנייה,,"חא עח-עט, עמ 81-82",yes,,,,,,,,,ברונזה קדומה 1,הנגב,מצד,,,,
17,8,8,אוהד,096/073,הנגב,דופין קלודין,1-2.1979,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא סט-עא, עמ 84",,,,,,,,,,ברונזה קדומה 2,סיני,בריכה,,,,
18,10,10,"אום אל עומדן, כביש 2 דרום",15010/14300,יהודה,קוגן זהבי אלנה,7-8.1997,הלניסטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 121-122",,,,,,,,,,ברונזה קדומה 3,,,,,,
19,10,11,"אום אל עומדן, כביש 2 מרכז",1500-3/1438-45,יהודה,טורגה חגית,5.1997,הלניסטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 120-121",,,,,,,,,,ברונזה קדומה 4,,,,,,
20,10,11,"אום אל עומדן, כביש 2 מרכז",1500-3/1438-45,יהודה,טורגה חגית,5.1997,רומית - ביזנטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 120-121",,,,,,,,,,ברונזה קדומה,,,,,,
21,12,12,אום חאלד,1374/1927,חוף הים הדרומי,לוי יוסי,12.1986,ביזנטית,,חירבה,כפרי,,,מתקן,כבשן,"חא צ, עמ 36",,,,,,,,,,ברונזה ביניימית,,,,,,
22,12,12,אום חאלד,1374/1927,חוף הים הדרומי,לוי יוסי,12.1986,ימי הביניים,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא צ, עמ 36",,,,,,,,,,ברונזה תיכונה 1,,,,,,
23,9,9,אום ריחן,166/209,שומרון,ייבין זאב,1969,רומית,,חירבה,קבר,,,קבר,מאוזילאום,"חא ל, עמ 26",,,,,,,,,,ברונזה תיכונה 2,,,,,,
24,13,13,"אום ריחן, חיננית",1669/2093,שומרון,דר שמעון,6-8.1980.,הלניסטית,,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא פ-פא, עמ 23-25",,,,,,,,,,ברונזה תיכונה 2א,,,,,,
25,13,13,"אום ריחן, חיננית",1669/2093,שומרון,דר שמעון,6-8.1980.,רומית,,חירבה,כפרי,,,קרמיקה בלבד,,"חא פ-פא, עמ 23-25",,,,,,,,,,ברונזה תיכונה 2ב,,,,,,
26,14,14,"אום ריחן, קצר א-לגה",1673/2025,שומרון,דר שמעון,6-8.1980.,הלניסטית,מאה 1 לפנהס- 1 לספירה,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא פ-פא, עמ 23-25",,,,,,,,,,ברונזה תיכונה,,,,,,
27,15,15,"אום ריחן,חר זקזוק",1644/2097,שומרון,דר שמעון,6-8.1980.,ברזל 2,מאה 7-6 לפנהס,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא פ-פא, עמ 23-25",,,,,,,,,,ברונזה מאוחרת,,,,,,
28,16,16,אונו,137541-656/159123-250,יהודה,גורזלזני אמיר,8.1998,ביזנטית,,חירבה,כפרי?,,,שרידי בנייה,שרידי בנייה וקברי ארגז,"חא 111, עמ 53-54",,,,,,,,,,ברונזה מאוחרת 1,,,,,,
29,16,16,אונו,137541-656/159123-250,יהודה,גורזלזני אמיר,8.1998,כלקולית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 111, עמ 53-54",,,,,,,,,,ברונזה מאוחרת 2,,,,,,
30,16,1726,אונו א',1377/1594,חוף הים הדרומי,בושנינו אביבה,3.2000.,כלקולית,,חירבה,כפרי,,,קרמיקה וצור,,"חא 114, עמ' 140",,,,,,,,,,ברונזה מאוחרת 3,,,,,,
31,16,1727,אונו ב',1378-9/1594,חוף הים הדרומי,בושנינו אביבה,3.2000.,ממלוכית,,בית קברות,קבר,,,קבר,,"חא 114, עמ' 140-141",,,,,,,,,,ברזל,,,,,,
32,17,17,אוסתרקינה (אל פלוסיאת),001/059,סיני,אורן אליעזר,12.1976-4.1977,רומית,,חירבה,כפרי,,,שרידי בנייה,,"חא סג-סד, עמ 72-75",,,,,,,,,,ברזל 1,,,,,,
33,17,17,אוסתרקינה (אל פלוסיאת),001/059,סיני,אורן אליעזר,12.1976-4.1977,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא סג-סד, עמ 72-75",yes,,,,,,,,,ברזל 2,,,,,,
34,17,17,אוסתרקינה (אל פלוסיאת),001/059,סיני,אורן אליעזר,12.1976-4.1977,מוסלמי קדום,,חירבה,כפרי,,,שרידי בנייה,,"חא סג-סד, עמ 72-75",,,,,,,,,,ברזל 2א',,,,,,
35,1669,1683,אור יהודה,13523-51/15961-79,חוף הים הדרומי,גורזלזני אמיר,12.1999,פרסית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 58",,,,,,,,,,ברזל 2ב,,,,,,
36,1669,1683,אור יהודה,13523-51/15961-79,חוף הים הדרומי,גורזלזני אמיר,12.1999,ביזנטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 58",,,,,,,,,,ברזל 2ג,,,,,,
37,1669,1683,אור יהודה,13523-51/15961-79,חוף הים הדרומי,גורזלזני אמיר,12.1999,מוסלמי קדום,,חירבה,כפרי?,,,שרידי בנייה,,"חא 114, עמ' 58",,,,,,,,,,פרסית,,,,,,
38,1669,1683,אור יהודה,13523-51/15961-79,חוף הים הדרומי,גורזלזני אמיר,12.1999,ממלוכית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 58",yes,,,,,,,,,הלניסטית,,,,,,
39,1669,1683,אור יהודה,13523-51/15961-79,חוף הים הדרומי,גורזלזני אמיר,12.1999,עותמנית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 58",,,,,,,,,,רומית,,,,,,
40,18,18,אור עקיבא,1429/2139,חוף הים הדרומי,נאמן יהודה,9.1992,ביזנטית,,דרך,,,,שרידי בנייה,,"חא 103, עמ 47-48",yes,,,,,,,,,רומית - ביזנטית,,,,,,
41,19,19,אור עקיבא (מזרח),14330-42/21330-45,חוף הים הדרומי,ליפקונסקי דורון,8.1993,רומית,מאה 2-3 לספירה,בית קברות,קבר,,,קבר,,"חא 108, 53-54",,,,,,,,,,ביזנטית,,,,,,
42,20,20,"אור עקיבא, צפון",14237-59/21346-400,חוף הים הדרומי,פיילשטוקר מרטין,6.1997,ביזנטית,מאה 5-7 לספירה,בית קברות,קבר,,,קבר,תשעה סרקופגים,"חא 110, עמ 44",,,,,,,,,,מוסלמי קדום,,,,,,
43,21,21,אזור,131/159,חוף הים הדרומי,איילון איתן,,ביזנטית,,שרידים חקלאיים,כפרי,,,מתקן,גת ויקב,"חא עב, עמ 42",,,,,,,,,,אומאי,,,,,,
44,21,21,אזור,131/159,חוף הים הדרומי,איילון איתן,,מוסלמי קדום,,חירבה,כפרי,,,שרידי בנייה,,"חא עב, עמ 42",,,,,,,,,,עבאסי,,,,,,
45,21,22,אזור,131/159,חוף הים הדרומי,בושרי מנשה,1969,ברונזה קדומה 1,,מערה,קבר,,,קבר,,"חא ל, עמ 16",,,,,,,,,,צלבני,,,,,,
46,21,23,אזור,131/159,חוף הים הדרומי,בן תור אמנון,4-5.1971,ניאולית קיראמית,,מערה,קבר,,,קבר,,"חא לט, עמ 20",,,,,,,,,,ממלוכית,,,,,,
47,21,23,אזור,131/159,חוף הים הדרומי,בן תור אמנון,4-5.1971,רומית - ביזנטית,,מערה,קבר,,,קבר,,"חא לט, עמ 20",,,,,,,,,,פאטימית,,,,,,
48,21,24,אזור,1315-18/1592-96,חוף הים הדרומי,גולני אמיר וואן דן ברינק אדווין,12.1993-1.1994,אפי פליאולית,,חירבה,כפרי?,,,צור בלבד,,"חא 103, עמ 58",,,,,,,,,,ימי הביניים,,,,,,
49,21,24,אזור,1315-18/1592-96,חוף הים הדרומי,גולני אמיר וואן דן ברינק אדווין,12.1993-1.1994,ברונזה קדומה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 58",,,,,,,,,,עותמנית,,,,,,
50,21,24,אזור,1315-18/1592-96,חוף הים הדרומי,גולני אמיר וואן דן ברינק אדווין,12.1993-1.1994,כלקולית,,חירבה,כפרי?,,,צור בלבד,,"חא 103, עמ 58",,,,,,,,,,אין תיארוך,,,,,,
51,21,24,אזור,1315-18/1592-96,חוף הים הדרומי,גולני אמיר וואן דן ברינק אדווין,12.1993-1.1994,ניאולית קק,,חירבה,כפרי?,,,צור בלבד,,"חא 103, עמ 58",,,,,,,,,,,,,,,,
52,21,24,אזור,1315-18/1592-96,חוף הים הדרומי,גולני אמיר וואן דן ברינק אדווין,12.1993-1.1994,עותמנית,,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 58",,,,,,,,,,,,,,,,
53,21,25,אזור,131/159,חוף הים הדרומי,גופנא רם ובושרי מנשה,11.1966,ברונזה מאוחרת 1,,מרגלות תל,כפרי,,כ 6*5 מ',שרידי בנייה,,"חא כא, עמ 7-8",,,,,,,,,,,,,,,,
54,21,25,אזור,131/159,חוף הים הדרומי,גופנא רם ובושרי מנשה,11.1966,ברונזה קדומה,,מרגלות תל,כפרי,,כ 6*5 מ',שרידי בנייה,,"חא כא, עמ 7-8",,,,,,,,,,,,,,,,
55,21,25,אזור,131/159,חוף הים הדרומי,גופנא רם ובושרי מנשה,11.1966,ברזל 1,,מרגלות תל,כפרי,,כ 6*5 מ',שרידי בנייה,,"חא כא, עמ 7-8",,,,,,,,,,,,,,,,
56,21,25,אזור,131/159,חוף הים הדרומי,גופנא רם ובושרי מנשה,11.1966,מוסלמי קדום,,מרגלות תל,כפרי,,כ 6*5 מ',שרידי בנייה,,"חא כא, עמ 7-8",,,,,,,,,,,,,,,,
57,21,27,אזור,131708-828/158700-900,חוף הים הדרומי,מילבסקי יניר,10-11.1996,עותמנית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 109, עמ 98-99",,,,,,,,,,,,,,,,
58,21,28,אזור,13150/15913,חוף הים הדרומי,נחמיאס קרן,5.1996,ביזנטית,מאה 4-6 לספירה,חירבה,כפרי,,,שרידי בנייה,,"חא 108, עמ 77",,,,,,,,,,,,,,,,
59,21,28,אזור,13150/15913,חוף הים הדרומי,נחמיאס קרן,5.1996,ברזל,,חירבה,כפרי,,,צור בלבד,,"חא 108, עמ 77",,,,,,,,,,,,,,,,
60,21,28,אזור,13150/15913,חוף הים הדרומי,נחמיאס קרן,5.1996,מוסלמי קדום,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 108, עמ 77",,,,,,,,,,,,,,,,
61,21,29,אזור,131/159,חוף הים הדרומי,עובדיה אשר,5.1968,ברונזה קדומה 1,,מערה,קבר,,,קבר,,"חא כז, עמ 8-9",,,,,,,,,,,,,,,,
62,21,30,אזור,131751-926/158934-9196,חוף הים הדרומי,פז יצחק,1.1998,אומאי,,חירבה,כפרי?,,,שרידי בנייה,,"חא 111, עמ 54-55",,,,,,,,,,,,,,,,
63,21,31,אזור,13156/15902,חוף הים הדרומי,רנד יונתן,12.1995,ברונזה תיכונה 2,,מערה,קבר,,,קבר,,"חא 107, עמ 149",,,,,,,,,,,,,,,,
64,21,32,אזור,13165/15940,חוף הים הדרומי,רנד יונתן,"2,6.1995",ברונזה קדומה 1,,חירבה,כפרי,,,שרידי בנייה,,"חא 107, עמ 60-61",,,,,,,,,,,,,,,,
65,21,33,אזור,131/159,חוף הים הדרומי,שפירא יריב,9.1983,אפי פליאולית,,חירבה,כפרי?,,,צור בלבד,,"חא פד, עמ 34-36",,,,,,,,,,,,,,,,
66,21,33,אזור,131/159,חוף הים הדרומי,שפירא יריב,9.1983,ביזנטית,,חירבה,קבר,,,קבר,,"חא פד, עמ 34-36",,,,,,,,,,,,,,,,
67,21,33,אזור,131/159,חוף הים הדרומי,שפירא יריב,9.1983,ברונזה קדומה,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא פד, עמ 34-36",,,,,,,,,,,,,,,,
68,21,33,אזור,131/159,חוף הים הדרומי,שפירא יריב,9.1983,ברזל 1,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא פד, עמ 34-36",,,,,,,,,,,,,,,,
69,21,33,אזור,131/159,חוף הים הדרומי,שפירא יריב,9.1983,ברזל 2,,בית קברות,קבר,,,קבר,,"חא פד, עמ 34-36",,,,,,,,,,,,,,,,
70,21,33,אזור,131/159,חוף הים הדרומי,שפירא יריב,9.1983,כלקולית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא פד, עמ 34-36",,,,,,,,,,,,,,,,
71,21,34,אזור,131/159,חוף הים הדרומי,שפירא יריב,1962,ברונזה קדומה,,מערה,קבר,,,קבר,,"חא ה, עמ 16",,,,,,,,,,,,,,,,
72,21,35,אזור,131/159,חוף הים הדרומי,שפירא יריב,1963,כלקולית,,מערה,קבר,,,קבר,,"חא ט, עמ 6",,,,,,,,,,,,,,,,
73,21,1789,אזור,1310-20/1575-90,חוף הים הדרומי,גודוביץ שלמה,9.1996,ביזנטית,,חירבה,קבר,,,קבר,,"חא 113, עמ' 98-99",,,,,,,,,,,,,,,,
74,21,1789,אזור,1310-20/1575-90,חוף הים הדרומי,גודוביץ שלמה,9.1996,מוסלמי קדום,,חירבה,קבר,,,קבר,,"חא 113, עמ' 98-99",,,,,,,,,,,,,,,,
75,21,1789,אזור,1310-20/1575-90,חוף הים הדרומי,גודוביץ שלמה,9.1996,עותמנית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 113, עמ' 98-99",,,,,,,,,,,,,,,,
76,21,1686,אזור א',1311-21/1584-96,חוף הים הדרומי,גודוביץ שלמה,2.1997,ביזנטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 62-63",,,,,,,,,,,,,,,,
77,21,1686,אזור א',1311-21/1584-96,חוף הים הדרומי,גודוביץ שלמה,2.1997,עותמנית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 62-63",,,,,,,,,,,,,,,,
78,21,1687,אזור א',1318/1587-8,חוף הים הדרומי,גודוביץ שלמה,2.1997,ביזנטית,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 62-63",,,,,,,,,,,,,,,,
79,21,1687,אזור א',1318/1587-8,חוף הים הדרומי,גודוביץ שלמה,2.1997,אומאי,,חירבה,כפרי?,,,שרידי בנייה,,"חא 114, עמ' 62-63",yes,,,,,,,,,,,,,,,
80,21,1687,אזור א',1318/1587-8,חוף הים הדרומי,גודוביץ שלמה,2.1997,ממלוכית,,חירבה,כפרי?,,,שרידי בנייה,,"חא 114, עמ' 62-63",yes,,,,,,,,,,,,,,,
81,21,1687,אזור א',1318/1587-8,חוף הים הדרומי,גודוביץ שלמה,2.1997,עותמנית,,חירבה,כפרי?,,,שרידי בנייה,,"חא 114, עמ' 62-63",yes,,,,,,,,,,,,,,,
82,21,1688,אזור ב',13167/15940,חוף הים הדרומי,דגוט אנגלינה,7-8.1998,ברזל 2,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 114, עמ' 63-64",,,,,,,,,,,,,,,,
83,21,1688,אזור ב',13167/15940,חוף הים הדרומי,דגוט אנגלינה,7-8.1998,צלבני,,חירבה,כפרי,,,שרידי בנייה,,"חא 114, עמ' 63-64",,,,,,,,,,,,,,,,
84,21,36,"אזור, ר ההסתדרות",131600-625/159275-325,חוף הים הדרומי,ון דן ברינק אדווין,10-11.1995,ברונזה קדומה 1,,חירבה,כפרי?,,,קרמיקה בלבד,,"חא 110, עמ 59-60",,,,,,,,,,,,,,,,
85,21,36,"אזור, ר ההסתדרות",131600-625/159275-325,חוף הים הדרומי,ון דן ברינק אדווין,10-11.1995,מוסלמי קדום,מאה 10 לספירה,חירבה,כפרי?,,,שרידי בנייה,,"חא 110, עמ 59-60",,,,,,,,,,,,,,,,
86,37,37,איבטין,1611/2403,גליל תחתון,הורביץ צח וראויה לוסיא,8.1994,רומית - ביזנטית,,חירבה,כפרי,,,מתקן,גת,"חא 107, עמ 146",,,,,,,,,,,,,,,,
87,38,38,איבתן,154442/196564,שומרון,גנור אמיר ואבגנים אבי,1.1997,רומית,מאה 1-2 לספירה,מערה,קבר,,,קבר,,"חא 109, עמ 65-66",,,,,,,,,,,,,,,,
88,39,39,איילת השחר,269/204,גליל עליון,אדלשטיין גרשון,1975,ברונזה תיכונה 2,,מערה,קבר,,,קבר,,"חא נד-נה, עמ 2-3",,,,,,,,,,,,,,,,
89,39,39,איילת השחר,269/204,גליל עליון,אדלשטיין גרשון,1975,רומית,,מערה,קבר,,,קבר,,"חא נד-נה, עמ 2-3",,,,,,,,,,,,,,,,
90,40,40,אילות,14656/8877,הנגב,כהן רודולף,8.1973,מוסלמי קדום,,חירבה,כפרי,,,שרידי בנייה,,"חא מח-מט, עמ 92",,,,,,,,,,,,,,,,
91,41,41,אילניה,1881/2399,גליל תחתון,אלכסנדר ירדנה,2.1996,ברונזה תיכונה 1,,חירבה,כפרי,,4*4,שרידי בנייה,,"חא 109, עמ 141",,,,,,,,,,,,,,,,
92,41,41,אילניה,1881/2399,גליל תחתון,אלכסנדר ירדנה,2.1996,ברונזה תיכונה 2,,חירבה,כפרי,,4*4,שרידי בנייה,,"חא 109, עמ 141",,,,,,,,,,,,,,,,
93,41,41,אילניה,1881/2399,גליל תחתון,אלכסנדר ירדנה,2.1996,כלקולית,,חירבה,כפרי,,4*4,שרידי בנייה,,"חא 109, עמ 141",,,,,,,,,,,,,,,,
94,41,41,אילניה,1881/2399,גליל תחתון,אלכסנדר ירדנה,2.1996,רומית,,חירבה,כפרי,,4*4,שרידי בנייה,,"חא 109, עמ 141",,,,,,,,,,,,,,,,
95,42,42,אילת,1447-65/8870-7,הנגב,אבנר רינה,5-6.1993,אומאי,,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 105-106",,,,,,,,,,,,,,,,
96,42,42,אילת,1447-65/8870-7,הנגב,אבנר רינה,5-6.1993,ממלוכית,,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 105-106",,,,,,,,,,,,,,,,
97,42,42,אילת,1447-65/8870-7,הנגב,אבנר רינה,5-6.1993,עבאסי,,חירבה,כפרי,,,שרידי בנייה,,"חא 103, עמ 105-106",,,,,,,,,,,,,,,,
98,43,43,אילת,1457/8870,הנגב,רפיאנו יהודה,8-10.1989,עבאסי,,חירבה,כפרי,,,שרידי בנייה,,"חא 100, עמ 103-104",,,,,,,,,,,,,,,,
99,44,44,אכזיב- בית גיתות,1601/2727,חוף הים הצפוני,שיאון דני,4.1994,רומית,מאה 4 לספירה,שרידים חקלאיים,שרידים חקלאיים,,כ 9.5 *24 מ',מתקן,בית גיתות,"חא 107, עמ 7-8",,,,,,,,,,,,,,,,
100,45,45,"אכזיב, בית הקברות המזרחי",1609/2723,חוף הים הצפוני,אבו עוקסא הנא,3.1995,ברונזה מאוחרת 2,,בית קברות,קבר,,,קבר,,"חא 108, עמ 12-15",,,,,,,,,,,,,,,,
101,45,45,"אכזיב, בית הקברות המזרחי",1609/2723,חוף הים הצפוני,אבו עוקסא הנא,3.1995,רומית,מאה 1-2 לספירה,בית קברות,קבר,,,קבר,,"חא 108, עמ 12-15",,,,,,,,,,,,,,,,
102,46,46,אכסאל,1804/2319,גליל תחתון,אשרי אבירם,11.1991,ביזנטית,,חירבה,כפרי,,,שרידי בנייה,,"חא 101-102, עמ 120",,,,,,,,,,,,,,,,
103,46,46,אכסאל,1804/2319,גליל תחתון,אשרי אבירם,11.1991,ממלוכית,,חירבה,כפרי,,,שרידי בנייה,,"חא 101-102, עמ 120",,,,,,,,,,,,,,,,
104,47,47,אל בורג- מתחם השמשוני F114,15005-15/14640-51,יהודה,מרגלית מירב,5.1997,ביזנטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 119",,,,,,,,,,,,,,,,
105,47,47,אל בורג- מתחם השמשוני F114,15005-15/14640-51,יהודה,מרגלית מירב,5.1997,רומית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 119",,,,,,,,,,,,,,,,
106,47,48,אל בורג- מתחם השמשוני F123A-B,14950-5075/14575-700,יהודה,גרשטיין חנה,3.1997,הלניסטית,מאה 1 לפנהס,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,שומרה,"חא 108, עמ 118",,,,,,,,,,,,,,,,
107,47,49,אל בורג- מתחם השמשוני F73-74,14950/14575,יהודה,פרץ אילן,3.1997,ביזנטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,מערה ולצדה מבנה מעוגל,"חא 108, עמ 118-119",,,,,,,,,,,,,,,,
108,47,50,אל בורג- מתחם השמשוני F78,150275-475/146200-350,יהודה,וקסלר בדולח שלומית,1.1997,ביזנטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 117",,,,,,,,,,,,,,,,
109,47,51,אל בורג- מתחם השמשוני F98,15050/14580,יהודה,גרשטיין חנה,3.1997,אומאי,,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא 108, עמ 116-117",,,,,,,,,,,,,,,,
110,47,51,אל בורג- מתחם השמשוני F98,15050/14580,יהודה,גרשטיין חנה,3.1997,עבאסי,,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא 108, עמ 116-117",,,,,,,,,,,,,,,,
111,47,51,אל בורג- מתחם השמשוני F98,15050/14580,יהודה,גרשטיין חנה,3.1997,עותמנית,מאה 17-18 לספירה,חירבה,כפרי,,,שרידי בנייה,בית חווה,"חא 108, עמ 116-117",,,,,,,,,,,,,,,,
112,47,52,אל בורג- מתחם השמשוני כביש 2 צפון,150512-665/145209-495,יהודה,קוגן זהבי אלנה,7.1997,ביזנטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 119-120",,,,,,,,,,,,,,,,
113,47,52,אל בורג- מתחם השמשוני כביש 2 צפון,150512-665/145209-495,יהודה,קוגן זהבי אלנה,7.1997,הלניסטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 119-120",,,,,,,,,,,,,,,,
114,47,53,אל בורג- מתחם השמשוני כביש 20,15025-110/14660-720,יהודה,גרשטיין חנה ופרץ אילן,2.1997,הלניסטית,,שרידים חקלאיים,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 117-118",,,,,,,,,,,,,,,,
115,47,54,"אל בורג- מתחם השמשוני,אתר F128",14795-5000/14650-75,יהודה,גיבסון שמעון ולס אגון,9.1996,הלניסטית,,דרך,שרידים חקלאיים,,,שרידי בנייה,,"חא 108, עמ 116",,,,,,,,,,,,,,,,
