קוד זיהוי,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11,10,2,אבו טוין,,158500,119300,יהודה,הר יהודה,ע' מזר,ע' מזר,ברזל 2,,ברזל 3,"מאות 6-5 לפנה""ס, עד ראשית שיבת ציון",ארכיטקטורה+ מבני ציבור,ח'ירבה,מצודה,29.50X31,29.50X31,,"כרך 1, עמ' 4-5"
12,11,3,אבו סלימה (שיח' זויד),,646000,708000,חצי האי סיני,חצי האי סיני,פ' פיטרי,ר' רייך,"ב""מ",,"ב""מ 2","אמצע מאה 14 לפנה""ס",ארכיטקטורה,תל,,,,,"כרך 1, עמ' 6"
13,12,4,אבו ע'וש,,160000,135000,יהודה,סביבות י-ם,מ' לשבליה,מ' אבי יונה,נאוליתית,,נאוליתית קדם קירמית ב',"תחילת האלף ה-7 לפנה""ס",ארכיטקטורה,ח'ירבה,כפרי,"2000 מ""ר",800 מ',,"כרך 1, עמ' 6-10"
14,13,4,אבו ע'וש,,160000,135000,יהודה,סביבות י-ם,ר' דה-וו,מ' אבי יונה,הלניסטית,,הלניסטית,,קברים,ח'ירבה,אתר קבורה,,,,"כרך 1, עמ' 6-10"
15,14,4,אבו ע'וש,,160000,135000,יהודה,סביבות י-ם,ר' דה-וו,מ' אבי יונה,רומית,,רומית,,מתקנים,ח'ירבה,מחנה צבאי,16.25X20.7 משוער,,,"כרך 1, עמ' 6-10"
16,15,4,אבו ע'וש,,160000,135000,יהודה,סביבות י-ם,ר' דה-וו,מ' אבי יונה,ימי הביניים,,ערבית קדומה,"בית עבס- אמצע מאה 9 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,פונדק+מבנה פולחן,,,,"כרך 1, עמ' 6-10"
17,16,4,אבו ע'וש,,160000,135000,יהודה,סביבות י-ם,ר' דה-וו,מ' אבי יונה,ימי הביניים,,צלבנית,"1141-1187 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,פולחני,,,כנסיה,"כרך 1, עמ' 6-10"
18,17,4,אבו ע'וש,,160000,135000,יהודה,סביבות י-ם,ר' דה-וו,מ' אבי יונה,ימי הביניים,,ערבית מאוחרת,"ממלוכית- 1350-1400 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,פונדק+מבנה פולחן,,,,"כרך 1, עמ' 6-10"
19,18,4,אבו ע'וש,,160000,135000,יהודה,סביבות י-ם,ר' דה-וו,מ' אבי יונה,ימי הביניים,,עות'מאנית,"עד סוף מאה 19 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,פונדק+מבנה פולחן,,,שפוצים במבנה הכנסיה,"כרך 1, עמ' 6-10"
20,19,5,אבילה (תל אבילה וח' אם אל עמד),,,,"עבה""י",גלעד,ה' מייר,ה' מייר,הלניסטית,,הלניסטית,,ארכיטקטורה+ מבני ציבור,תל,עירוני,,,בסקר באתר זוהו תק' קדומות,"כרך 1, עמ' 10-13"
21,20,5,אבילה (תל אבילה וח' אם אל עמד),,,,"עבה""י",גלעד,ה' מייר,ה' מייר,רומית,,רומית,"63 לפנה""ס- 324 לסה""נ",ארכיטקטורה+ מבני ציבור,תל,עירוני,,,,"כרך 1, עמ' 10-13"
22,21,5,אבילה (תל אבילה וח' אם אל עמד),,,,"עבה""י",גלעד,ה' מייר,ה' מייר,ביזנטית,,ביזנטית,"324-640 לסה""נ",ארכיטקטורה+ מבני ציבור,תל,עירוני,,,,"כרך 1, עמ' 10-13"
23,22,5,אבילה (תל אבילה וח' אם אל עמד),,,,"עבה""י",גלעד,ה' מייר,ה' מייר,ימי הביניים,,ערבית קדומה,אומיית,ארכיטקטורה+ מבני ציבור,תל,עירוני,,,,"כרך 1, עמ' 10-13"
24,23,6,מנזר אבתימיוס,,181900,133300,יהודה,מדבר יהודה,י' הירשפלד,י' הירשפלד,ביזנטית,,ביזנטית,,ארכיטקטורה+ מבני ציבור,ח'ירבה,מבנה פולחן,65X54 מ',,,"כרך 1, עמ' 13-16"
25,24,6,מנזר אבתימיוס,,181900,133300,יהודה,מדבר יהודה,י' הירשפלד,י' הירשפלד,ימי הביניים,,ערבית קדומה,אומיית- שנת 659,ארכיטקטורה+ מבני ציבור,ח'ירבה,מבנה פולחן,65X54 מ',,,"כרך 1, עמ' 13-16"
26,25,6,מנזר אבתימיוס,,181900,133300,יהודה,מדבר יהודה,י' הירשפלד,י' הירשפלד,ימי הביניים,,איובית,"מאה 12 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,מבנה פולחן,65X54 מ',,,"כרך 1, עמ' 13-16"
27,26,7,אדר,,222000,68000,"עבה""י",מואב,"וו""פ אולברייט",מ' כוכבי,"ב""ק",,"ב""ק","שלהי הב""ק",קרמיקה+ צור,ח'ירבה,,,4X10 מ',"נמצא גם קבר בודד (הוגדרה  שכבת מעבר בין הב""ק לב""ת 1, ובה נמצאו שרידי לבנים ועדויות לבניה)","כרך 1, עמ' 16-17"
28,27,7,אדר,,222000,68000,"עבה""י",מואב,"וו""פ אולברייט",מ' כוכבי,ברונזה ביניימית,,"ב""ת 1",,ארכיטקטורה+ מבני ציבור,ח'ירבה,מבנה פולחן,,4X10 מ',מקדש?,"כרך 1, עמ' 16-17"
29,28,7,אדר,,222000,68000,"עבה""י",מואב,"וו""פ אולברייט",מ' כוכבי,ברזל 2,,ברזל 2,,ארכיטקטורה,ח'ירבה,כפרי,,4X10 מ',,"כרך 1, עמ' 16-17"
30,29,7,אדר,,222000,68000,"עבה""י",מואב,"וו""פ אולברייט",מ' כוכבי,רומית קדומה,,רומית קדומה,"מאות 2-3 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,,4X10 מ',,"כרך 1, עמ' 16-17"
31,30,7,אדר,,222000,68000,"עבה""י",מואב,"וו""פ אולברייט",מ' כוכבי,רומית מאוחרת,,רומית מאוחרת,,ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,,4X10 מ',,"כרך 1, עמ' 16-17"
32,31,7,אדר,,222000,68000,"עבה""י",מואב,"וו""פ אולברייט",מ' כוכבי,ביזנטית,,ביזנטית,,ממצא קטן,ח'ירבה,,,4X10 מ',כתובת,"כרך 1, עמ' 16-17"
33,32,8,אוסתרקינה (אל-פלוסיאת),,1000,59000,חצי האי סיני,חצי האי סיני,א' אורן,א' אורן,רומית קדומה,,רומית קדומה,,ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,"2 קמ""ר",,,"כרך 1, עמ' 17-19"
34,33,8,אוסתרקינה (אל-פלוסיאת),,1000,59000,חצי האי סיני,חצי האי סיני,א' אורן,א' אורן,רומית מאוחרת,,רומית מאוחרת,,ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,"2 קמ""ר",,,"כרך 1, עמ' 17-19"
35,34,8,אוסתרקינה (אל-פלוסיאת),,1000,59000,חצי האי סיני,חצי האי סיני,א' אורן,א' אורן,ביזנטית,,ביזנטית,,ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,"2 קמ""ר",,כנסיות,"כרך 1, עמ' 17-19"
36,35,8,אוסתרקינה (אל-פלוסיאת),,1000,59000,חצי האי סיני,חצי האי סיני,א' אורן,א' אורן,ימי הביניים,,ערבית קדומה,אומיית- שנת 684,ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,"2 קמ""ר",,,"כרך 1, עמ' 17-19"
37,36,8,אוסתרקינה (אל-פלוסיאת),,1000,59000,חצי האי סיני,חצי האי סיני,א' אורן,א' אורן,ימי הביניים,,ערבית מאוחרת,"עד שנת 1302 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,"2 קמ""ר",,נמל,"כרך 1, עמ' 17-19"
38,37,9,אור הנר,,111000,106000,מ. החוף,מ. החוף הדרומי,י' עורי,י' צפריר,ביזנטית,,ביזנטית,"מאה 4 לסה""נ",קברים,ח'ירבה,אתר קבורה,,,,"כרך 1, עמ' 20-21"
39,38,10,אזור,,131000,159000,מ. החוף,מ. החוף הדרומי,ז' פרו,מ' דותן,כלקוליתית,,כלקוליתית,,קברים,מרגלות תל,אתר קבורה,,,מערה ששימשה גם למגורים חלק מהזמן,"כרך 1, עמ' 21-27"
40,39,10,אזור,,131000,159000,מ. החוף,מ. החוף הדרומי,א' בן תור,מ' דותן,"ב""ק 1",,"ב""ק 1",,קברים,מרגלות תל,אתר קבורה,,,,"כרך 1, עמ' 21-27"
41,40,10,אזור,,131000,159000,מ. החוף,מ. החוף הדרומי,מ' דותן,מ' דותן,"ב""ת 2",,"ב""ת 2",,קברים,מרגלות תל,אתר קבורה,,,,"כרך 1, עמ' 21-27"
42,41,10,אזור,,131000,159000,מ. החוף,מ. החוף הדרומי,מ' דותן,מ' דותן,"ב""מ",,"ב""מ",,קברים,מרגלות תל,אתר קבורה,,,,"כרך 1, עמ' 21-27"
43,42,10,אזור,,131000,159000,מ. החוף,מ. החוף הדרומי,מ' דותן,מ' דותן,ברזל 1,,ברזל 1,"מאות 12-10 לפנה""ס",קברים,מרגלות תל,אתר קבורה,,,,"כרך 1, עמ' 21-27"
44,43,10,אזור,,131000,159000,מ. החוף,מ. החוף הדרומי,מ' דותן,מ' דותן,ברזל 2,,ברזל 2,"מאות 10-9 לפנה""ס",קברים,מרגלות תל,אתר קבורה,,,,"כרך 1, עמ' 21-27"
45,44,10,אזור,,131000,159000,מ. החוף,מ. החוף הדרומי,מ' דותן,מ' דותן,ברזל 2,,ברזל 3,"מאות 7-6 לפנה""ס",קברים,מרגלות תל,אתר קבורה,,,,"כרך 1, עמ' 21-27"
46,45,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,"ב""ת 2",,"ב""ת 2ב'","אמצע מאה 18 לפנה""ס",ארכיטקטורה+ מבני ציבור,תל,עירוני,,,נמצא גם בית קברות מהתקופה,"כרך 1, עמ' 27-33"
47,46,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,"ב""מ",,"ב""מ",,ארכיטקטורה+ מבני ציבור,תל,עירוני,,,נמצא גם בית קברות מהתקופה,"כרך 1, עמ' 27-33"
48,47,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,ברזל 1,,ברזל 1,"מאה 12 לפנה""ס",ארכיטקטורה+ מבני ציבור,תל,עירוני,,,נמצא גם בית קברות מהתקופה,"כרך 1, עמ' 27-33"
49,48,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,ברזל 2,,ברזל 2,,ארכיטקטורה+ מבני ציבור,תל,עירוני,,,נמצא גם בית קברות מהתקופה,"כרך 1, עמ' 27-33"
50,49,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,ברזל 2,,ברזל 3,"מאות  7-6 לפנה""ס",קברים,מרגלות תל,אתר קבורה,,,,"כרך 1, עמ' 27-33"
51,50,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,פרסית,,פרסית,,קברים,תל,אתר קבורה,,,,"כרך 1, עמ' 27-33"
52,51,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,הלניסטית,,הלניסטית,,ארכיטקטורה+ מבני ציבור,תל,עירוני,,,נמצא גם בית קברות מהתקופה,"כרך 1, עמ' 27-33"
53,52,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,רומית,,רומית,,ארכיטקטורה+ מבני ציבור,תל,עירוני,,,נמצא גם בית קברות מהתקופה,"כרך 1, עמ' 27-33"
54,53,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,ביזנטית,,ביזנטית,,קברים,תל,אתר קבורה,,,,"כרך 1, עמ' 27-33"
55,54,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,ימי הביניים,,צלבנית,,קברים,תל,אתר קבורה,,,,"כרך 1, עמ' 27-33"
56,55,11,אכזיב,,159800,272600,מ. החוף הצפוני,מ. החוף הצפוני,א' מזר,א' מזר,ימי הביניים,,ימי הביניים,,קברים,תל,אתר קבורה,,,,"כרך 1, עמ' 27-33"
57,56,12,אלוני ממרא,,108800,160200,יהודה,הר יהודה,י' מגן,י' מגן,רומית קדומה,,רומית קדומה,,ארכיטקטורה,ח'ירבה,פולחני,3.5 ד',,,"כרך 1, עמ' 33-36"
58,57,12,אלוני ממרא,,108800,160200,יהודה,הר יהודה,י' מגן,י' מגן,ביזנטית,,ביזנטית,"מאה 4 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,פולחני,3.5 ד',,כנסיה,"כרך 1, עמ' 33-36"
59,58,12,אלוני ממרא,,108800,160200,יהודה,הר יהודה,י' מגן,י' מגן,ימי הביניים,,צלבנית,,ארכיטקטורה+ מבני ציבור,ח'ירבה,פולחני,3.5 ד',,כנסיה,"כרך 1, עמ' 33-36"
60,59,13,אמאוס,,149000,138000,יהודה,שפלה,מ' גיחון,מ' גיחון,הלניסטית,,הלניסטית מאוחרת,"מאות  2-1 לפנה""ס",ארכיטקטורה,ח'ירבה,עירוני,,,,"כרך 1, עמ' 37-41"
61,60,13,אמאוס,,149000,138000,יהודה,שפלה,מ' גיחון,מ' גיחון,רומית קדומה,,רומית קדומה,"שנת 132 לסה""נ",קברים,ח'ירבה,צבאי,,,,"כרך 1, עמ' 37-41"
62,61,13,אמאוס,,149000,138000,יהודה,שפלה,מ' גיחון,מ' גיחון,רומית מאוחרת,,רומית מאוחרת,"מאה 3 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,,,,"כרך 1, עמ' 37-41"
63,62,13,אמאוס,,149000,138000,יהודה,שפלה,מ' גיחון,מ' גיחון,ביזנטית,,ביזנטית,"מאות 5-6 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,,,,"כרך 1, עמ' 37-41"
64,63,13,אמאוס,,149000,138000,יהודה,שפלה,מ' גיחון,מ' גיחון,ימי הביניים,,צלבנית,,ארכיטקטורה,ח'ירבה,עירוני,,,מציין שהצלבנים הפכו את המקום למחסנים,"כרך 1, עמ' 37-41"
65,64,13,אמאוס,,149000,138000,יהודה,שפלה,מ' גיחון,מ' גיחון,ימי הביניים,,ערבית מאוחרת,ממלוכית,ארכיטקטורה,ח'ירבה,עירוני,,,"""הממלוכים הפכו  את המרחצאות באמאוס למקום קדוש""","כרך 1, עמ' 37-41"
66,65,14,אנפה,,210500,286800,עמק החולה,עמק החולה,"ס""ש וינברג",ש' הרברט,"ב""ק",,"ב""ק","שלהי הב""ק",קרמיקה בלבד,תל,,160X10 מ',"1000 מ""ר",,"כרך 1, עמ' 42-46"
67,66,14,אנפה,,210500,286800,עמק החולה,עמק החולה,"ס""ש וינברג",ש' הרברט,ברונזה ביניימית,,"ב""ת 1",,קרמיקה בלבד,תל,,160X10 מ',"1000 מ""ר",,"כרך 1, עמ' 42-46"
68,67,14,אנפה,,210500,286800,עמק החולה,עמק החולה,"ס""ש וינברג",ש' הרברט,"ב""ת 2",,"ב""ת 2",,ארכיטקטורה,תל,עירוני,160X10 מ',"1000 מ""ר",נזכר שהיה ישוב ורחובות מרוצפים,"כרך 1, עמ' 42-46"
69,68,14,אנפה,,210500,286800,עמק החולה,עמק החולה,"ס""ש וינברג",ש' הרברט,ברזל,,ברזל,,ארכיטקטורה,תל,עירוני,160X10 מ',"1000 מ""ר",נזכרים רחובות מרוצפים ולא יותר,"כרך 1, עמ' 42-46"
70,69,14,אנפה,,210500,286800,עמק החולה,עמק החולה,"ס""ש וינברג",ש' הרברט,הלניסטית,,הלניסטית קדומה,"מאה 3 לפנה""ס (תלמי  ה-ב' וה-ג')",ארכיטקטורה,תל,עירוני,160X10 מ',"1000 מ""ר","י""שוב קטן"" בימי תלמי....","כרך 1, עמ' 42-46"
71,70,14,אנפה,,210500,286800,עמק החולה,עמק החולה,"ס""ש וינברג",ש' הרברט,הלניסטית,,הלניסטית מאוחרת,"סוף מאה 2 לפנה""ס",ארכיטקטורה+ מבני ציבור,תל,עירוני,160X10 מ',"1000 מ""ר",,"כרך 1, עמ' 42-46"
72,71,14,אנפה,,210500,286800,עמק החולה,עמק החולה,"ס""ש וינברג",ש' הרברט,רומית קדומה,,רומית קדומה,"מאה 1 לפנה""ס עד סוף מאה 1 לסה""נ",ארכיטקטורה,תל,עירוני,160X10 מ',"1000 מ""ר",,"כרך 1, עמ' 42-46"
73,72,14,אנפה,,210500,286800,עמק החולה,עמק החולה,"ס""ש וינברג",ש' הרברט,ימי הביניים,,ערבית מאוחרת,ממלוכית,ארכיטקטורה,תל,עירוני,160X10 מ',"1000 מ""ר","""מבנים פזורים""","כרך 1, עמ' 42-46"
74,73,15,אסדר,,147500,64500,נגב,"בקעת ב""ש ערד",מ' כוכבי,מ' כוכבי,כלקוליתית,,כלקוליתית,,ארכיטקטורה,תל,כפרי,20 ד',"כ-90 מ""ר","תרבות ב""ש","כרך 1, עמ' 46-47"
75,74,15,אסדר,,147500,64500,נגב,"בקעת ב""ש ערד",מ' כוכבי,מ' כוכבי,"ב""ק 2-3",,"ב""ק 2",,קרמיקה+ צור,תל,כפרי,20 ד',"כ-90 מ""ר",,"כרך 1, עמ' 46-47"
76,75,15,אסדר,,147500,64500,נגב,"בקעת ב""ש ערד",מ' כוכבי,מ' כוכבי,ברזל 1,,ברזל 1,"מחצית שניה של המאה ה-11 לפנה""ס",ארכיטקטורה,תל,כפרי,20 ד',"כ-90 מ""ר",,"כרך 1, עמ' 46-47"
77,76,15,אסדר,,147500,64500,נגב,"בקעת ב""ש ערד",מ' כוכבי,מ' כוכבי,ברזל 2,,ברזל 2,"סוף המאה ה-10 לפנה""ס",ארכיטקטורה,תל,כפרי,20 ד',"כ-90 מ""ר",,"כרך 1, עמ' 46-47"
78,77,15,אסדר,,147500,64500,נגב,"בקעת ב""ש ערד",מ' כוכבי,מ' כוכבי,רומית,,רומית,,מתקנים,תל,כפרי,20 ד',"כ-90 מ""ר",טרסות חקלאיות,"כרך 1, עמ' 46-47"
79,78,15,אסדר,,147500,64500,נגב,"בקעת ב""ש ערד",מ' כוכבי,מ' כוכבי,ביזנטית,,ביזנטית,,מתקנים,תל,כפרי,20 ד',"כ-90 מ""ר",טרסות חקלאיות,"כרך 1, עמ' 46-47"
80,79,16,אסור,,152000,209000,מ. החוף,שרון,מ' דותן,מ' דותן,כלקוליתית,,כלקוליתית,שלהי התק' הכלקוליתית המאוחרת,קברים,מערה,אתר קבורה,30 ד',,התל עצמו נסקר ובקרבתו נמצאו מערות ששימשו לקבורה,"כרך 1, עמ' 47-49"
81,80,16,אסור,,152000,209000,מ. החוף,שרון,מ' דותן,מ' דותן,"ב""ת 2",,"ב""ת 2",,קברים,מערה,אתר קבורה,30 ד',,התל עצמו נסקר ובקרבתו נמצאו מערות ששימשו לקבורה,"כרך 1, עמ' 47-49"
82,81,17,אסכנדר,,,,"עבה""י",מואב,פ' פר,ס' רישאר,כלקוליתית,,כלקוליתית,,קרמיקה בלבד,ח'ירבה,,30 ד',,סקר+ חפירת בדיקה של שכבות מילוי,"כרך 1, עמ'  49-52"
83,82,17,אסכנדר,,,,"עבה""י",מואב,פ' פר,ס' רישאר,"ב""ק 1",,"ב""ק 1",,ארכיטקטורה,ח'ירבה,כפרי,30 ד',,,"כרך 1, עמ'  49-52"
84,83,17,אסכנדר,,,,"עבה""י",מואב,פ' פר,ס' רישאר,"ב""ק 2-3",,"ב""ק 2",,קרמיקה בלבד,ח'ירבה,,30 ד',,סקר+ חפירת בדיקה של שכבות מילוי,"כרך 1, עמ'  49-52"
85,84,17,אסכנדר,,,,"עבה""י",מואב,פ' פר,ס' רישאר,"ב""ק 2-3",,"ב""ק 3",,קרמיקה בלבד,ח'ירבה,,30 ד',,סקר+ חפירת בדיקה של שכבות מילוי,"כרך 1, עמ'  49-52"
86,85,17,אסכנדר,,,,"עבה""י",מואב,פ' פר,ס' רישאר,ברונזה ביניימית,,"ב""ת 1",,ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,30 ד',,,"כרך 1, עמ'  49-52"
87,86,17,אסכנדר,,,,"עבה""י",מואב,פ' פר,ס' רישאר,ברזל,,ברזל,,קרמיקה בלבד,ח'ירבה,,30 ד',,סקר+ חפירת בדיקה של שכבות מילוי,"כרך 1, עמ'  49-52"
88,87,17,אסכנדר,,,,"עבה""י",מואב,פ' פר,ס' רישאר,רומית,,רומית,,קרמיקה בלבד,ח'ירבה,,30 ד',,סקר+ חפירת בדיקה של שכבות מילוי,"כרך 1, עמ'  49-52"
89,88,17,אסכנדר,,,,"עבה""י",מואב,פ' פר,ס' רישאר,ימי הביניים,,ערבית קדומה,,קרמיקה בלבד,ח'ירבה,,30 ד',,סקר+ חפירת בדיקה של שכבות מילוי,"כרך 1, עמ'  49-52"
90,89,18,אפולוניה- ארסוף,,131910,178040,מ. החוף,שרון,י' רול,י' רול,ברזל 2,,ברזל 2,,קרמיקה בלבד,ח'ירבה,,,,,"כרך 1, עמ' 52-55"
91,90,18,אפולוניה- ארסוף,,131910,178040,מ. החוף,שרון,י' רול,י' רול,פרסית,,פרסית,,ארכיטקטורה,ח'ירבה,עירוני,,,,"כרך 1, עמ' 52-55"
92,91,18,אפולוניה- ארסוף,,131910,178040,מ. החוף,שרון,י' רול,י' רול,הלניסטית,,הלניסטית,,ארכיטקטורה,ח'ירבה,עירוני,,,,"כרך 1, עמ' 52-55"
93,92,18,אפולוניה- ארסוף,,131910,178040,מ. החוף,שרון,י' רול,י' רול,רומית מאוחרת,,רומית מאוחרת,"מאות 2-3 לסה""נ",ארכיטקטורה,ח'ירבה,עירוני,,,,"כרך 1, עמ' 52-55"
94,93,18,אפולוניה- ארסוף,,131910,178040,מ. החוף,שרון,י' רול,י' רול,ביזנטית,,ביזנטית,"מאות 6-7 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,כ-600 ד',,,"כרך 1, עמ' 52-55"
95,94,18,אפולוניה- ארסוף,,131910,178040,מ. החוף,שרון,י' רול,י' רול,ימי הביניים,,ערבית קדומה,"מחצית שניה של המאה ה-7  עד המאה ה-11 לסה""נ",ארכיטקטורה+ מבני ציבור,ח'ירבה,עירוני,כ-90 ד',,,"כרך 1, עמ' 52-55"
96,95,18,אפולוניה- ארסוף,,131910,178040,מ. החוף,שרון,י' רול,י' רול,ימי הביניים,,צלבנית,,ארכיטקטורה+ מבני ציבור,ח'ירבה,מצודה,,,,"כרך 1, עמ' 52-55"
97,96,18,אפולוניה- ארסוף,,131910,178040,מ. החוף,שרון,י' רול,י' רול,ימי הביניים,,איובית,,ממצא קטן,ח'ירבה,,,,מטבעות,"כרך 1, עמ' 52-55"
98,97,18,אפולוניה- ארסוף,,131910,178040,מ. החוף,שרון,י' רול,י' רול,ימי הביניים,,ערבית מאוחרת,ממלוכית- ימי ביברס,קרמיקה בלבד,ח'ירבה,צבאי,,,,"כרך 1, עמ' 52-55"
99,98,19,אפק (בשרון),,143000,168000,מ. החוף,שרון,מ' כוכבי,פ' בק,כלקוליתית,,כלקוליתית,שלב ע'סולי,קרמיקה בלבד,תל,,,,,"כרך 1, עמ' 55-66"
100,99,19,אפק (בשרון),,143000,168000,מ. החוף,שרון,מ' כוכבי,פ' בק,"ב""ק 1",,"ב""ק 1",שלהי התק',ארכיטקטורה+ מבני ציבור,תל,עירוני,,,,"כרך 1, עמ' 55-66"
101,100,19,אפק (בשרון),,143000,168000,מ. החוף,שרון,מ' כוכבי,פ' בק,"ב""ק 2-3",,"ב""ק 2",,ארכיטקטורה,תל,עירוני,,,,"כרך 1, עמ' 55-66"
102,101,19,אפק (בשרון),,143000,168000,מ. החוף,שרון,מ' כוכבי,פ' בק,ברונזה ביניימית,,"ב""ת 1",,קרמיקה בלבד,תל,,,,"בית קברות התגלה במרחק 10 ק""מ מהתל","כרך 1, עמ' 55-66"
103,102,19,אפק (בשרון),,143000,168000,מ. החוף,שרון,מ' כוכבי,פ' בק,"ב""ת 2",,"ב""ת 2א'","מראשית האלף ה-2 לפנה""ס עד המאה 18 לפנה""ס",ארכיטקטורה+ מבני ציבור,תל,עירוני,,,,"כרך 1, עמ' 55-66"
